A,K,VLL,ELBO,ARI,Clusters,BIC
1165.180303,553.9535045,-5360425.805,1.78545E+13,0.562832162,2,15339841.91
1013.662333,763.0594322,-4013924.837,1.78545E+13,0.562832162,2,12646839.98
1092.355022,720.985444,-4351474.764,1.78545E+13,0.562832162,2,13321939.83
340.5268504,126.1378685,-5054491.446,1.78545E+13,0.562832162,2,14727973.19
1516.048983,495.0123094,-6661862.358,1.78545E+13,0.562832162,2,17942715.02
1732.588549,1644.306813,-3288709.702,1.78545E+13,0.562832162,2,11196409.71
957.8781924,453.2388834,-5423114.367,1.78545E+13,0.562832162,2,15465219.04
1739.110941,1984.909506,-2948376.265,1.78545E+13,0.562832162,2,10515742.83
1703.213875,1605.665642,-3308518.865,1.78545E+13,0.562832162,2,11236028.03
763.5267063,247.667332,-6641859.642,1.78545E+13,0.562832162,2,17902709.58
928.6136289,654.5646743,-4209899.769,1.78545E+13,0.562832162,2,13038789.84
1924.572757,332.964397,-9577962.202,1.78545E+13,0.562832162,2,23774914.71
932.5130075,538.4402626,-4786580.814,1.78545E+13,0.562832162,2,14192151.93
667.1921467,519.9876903,-3971528.297,1.78545E+13,0.562832162,2,12562046.9
481.3018696,547.2493339,-3114730.735,1.78545E+13,0.562832162,2,10848451.77
1411.172883,1763.373842,-2842624.005,1.78545E+13,0.562832162,2,10304238.31
1402.17551,275.8217004,-9029406.233,1.78545E+13,0.562832162,2,22677802.77
1376.078452,384.3193621,-7397738.064,1.78545E+13,0.562832162,2,19414466.43
1725.30898,1810.163651,-3098941.433,1.78545E+13,0.562832162,2,10816873.17
656.3254491,606.1325048,-3565693.326,1.78545E+13,0.562832162,2,11750376.95
419.059146,1827.923775,-1372244.987,1.78545E+13,0.562832162,2,7363480.275
1597.650624,1236.707443,-3769948.211,1.78545E+13,0.562832162,2,12158886.72
670.5199445,275.2513233,-5786877.148,1.78545E+13,0.562832162,2,16192744.6
1358.31271,1630.584051,-2918933.431,1.78545E+13,0.562832162,2,10456857.16
1573.900302,700.2529584,-5423282.006,1.78545E+13,0.562832162,2,15465554.31
0.112150034,422.6653169,-761317.0593,1.78545E+13,0.562832162,2,6141624.42
1388.635794,1292.006224,-3408828.028,1.78545E+13,0.562832162,2,11436646.36
422.4470285,1219.41399,-1738516.935,1.78545E+13,0.562832162,2,8096024.171
129.3401041,1562.150581,-799302.6345,1.78545E+13,0.445780022,3,8527093.024
760.0700415,895.0588645,-3041461.774,1.78545E+13,0.562832162,2,10701913.85
1223.143225,262.9639959,-8577101.935,1.78545E+13,0.562832162,2,21773194.17
312.0124258,1891.786051,-1134252.883,1.78545E+13,0.562832162,2,6887496.067
1294.803951,694.3422085,-4911360.001,1.78545E+13,0.562832162,2,14441710.3
1171.876336,635.1027738,-4922203.991,1.78545E+13,0.562832162,2,14463398.28
1976.838394,1598.914539,-3562306.717,1.78545E+13,0.562832162,2,11743603.74
1425.368933,1502.29127,-3146903.074,1.78545E+13,0.562832162,2,10912796.45
1007.799952,1338.534191,-2789770.055,1.78545E+13,0.562832162,2,10198530.41
1314.778624,1529.212733,-2982127.259,1.78545E+13,0.562832162,2,10583244.82
84.20035898,806.5612323,-941617.1714,1.78545E+13,0.419616004,4,11121219.55
1683.536971,117.4250298,-13978890.6,1.78545E+13,0.562832162,2,32576771.51
992.7144416,1141.122722,-3056653.907,1.78545E+13,0.562832162,2,10732298.11
710.7050327,1502.331092,-2113756.476,1.78545E+13,0.562832162,2,8846503.253
1179.096815,1496.294089,-2847359.371,1.78545E+13,0.562832162,2,10313709.04
1356.102541,756.1338989,-4763436.006,1.78545E+13,0.562832162,2,14145862.31
523.1323446,1147.933512,-2059836.323,1.78545E+13,0.562832162,2,8738662.947
1573.217804,1176.858169,-3860817.752,1.78545E+13,0.562832162,2,12340625.81
34.9212517,104.5849157,-1677111.71,1.78545E+13,0.450581911,3,10282711.17
1660.457933,252.9399003,-10336728.31,1.78545E+13,0.562832162,2,25292446.92
1502.01917,1918.451319,-2794872.336,1.78545E+13,0.562832162,2,10208734.97
1877.717463,917.0038611,-4958862.823,1.78545E+13,0.562832162,2,14536715.95
1681.420501,1708.358587,-3166996.959,1.78545E+13,0.562832162,2,10952984.22
582.5604386,1844.435013,-1665028.421,1.78545E+13,0.562832162,2,7949047.143
1554.081401,1886.76467,-2871366.378,1.78545E+13,0.562832162,2,10361723.06
267.3740319,1355.121313,-1243795.881,1.78545E+13,0.521953836,3,9416079.518
1978.867057,1852.721348,-3262775.11,1.78545E+13,0.562832162,2,11144540.52
1239.039211,523.9706304,-5752994.469,1.78545E+13,0.562832162,2,16124979.24
761.7789635,516.2308417,-4339370.618,1.78545E+13,0.562832162,2,13297731.54
340.6263924,313.3841716,-3454051.916,1.78545E+13,0.562832162,2,11527094.13
689.6308758,518.8457204,-4061785.578,1.78545E+13,0.562832162,2,12742561.46
1099.32435,643.7993395,-4702569.416,1.78545E+13,0.562832162,2,14024129.13
1726.377742,1114.340941,-4190547.392,1.78545E+13,0.562832162,2,13000085.09
1272.73446,365.9505027,-7293629.186,1.78545E+13,0.562832162,2,19206248.67
263.2503965,1723.286436,-1082315.884,1.78545E+13,0.534778941,3,9093119.523
1334.798345,314.6467058,-8174679.533,1.78545E+13,0.562832162,2,20968349.37
212.706232,740.569126,-1552990.345,1.78545E+13,0.548412007,3,10034468.45
497.6625024,1320.346025,-1834487.853,1.78545E+13,0.562832162,2,8287966.007
