a0,b0,VLL,ELBO,ARI,CL,BIC
1631.221787,563.6174601,-288362.317,1.78545E+13,0.470604253,3,7505212.389
989.1352655,188.6569769,-185683.4664,1.22466E+13,1,3,7299854.688
1165.180303,553.9535045,-151900.227,1.22466E+13,1,3,7232288.209
1013.662333,763.0594322,-232981.8972,1.78545E+13,0.562832162,2,5084954.096
1092.355022,720.985444,-238955.5096,1.78545E+13,0.562832162,2,5096901.321
340.5268504,126.1378685,-167657.4007,1.22466E+13,1,3,7263802.557
1516.048983,495.0123094,-285885.6817,1.78545E+13,0.562832162,2,5190761.665
1732.588549,1644.306813,-249212.2559,1.78545E+13,0.562832162,2,5117414.814
957.8781924,453.2388834,-241353.2079,1.78545E+13,0.562832162,2,5101696.718
1739.110941,1984.909506,-243016.1385,1.78545E+13,0.562832162,2,5105022.579
1703.213875,1605.665642,-248624.7286,1.78545E+13,0.479113961,3,7425737.212
763.5267063,247.667332,-242708.9349,1.78545E+13,0.562832162,2,5104408.172
928.6136289,654.5646743,-230948.1263,1.78545E+13,0.562832162,2,5080886.554
1924.572757,332.964397,-199272.0242,1.22466E+13,1,3,7327031.804
932.5130075,538.4402626,-150656.1747,1.22466E+13,1,3,7229800.104
667.1921467,519.9876903,-219537.0464,1.78545E+13,0.562832162,2,5058064.394
481.3018696,547.2493339,-157970.6836,1.22466E+13,1,3,7244429.122
1411.172883,1763.373842,-233782.039,1.78545E+13,0.562832162,2,5086554.38
1402.17551,275.8217004,-309319.3294,1.78545E+13,0.562832162,2,5237628.961
1376.078452,384.3193621,-285810.7473,1.78545E+13,0.562832162,2,5190611.796
1725.30898,1810.163651,-245527.8327,1.78545E+13,0.562832162,2,5110045.967
656.3254491,606.1325048,-217590.6939,1.78545E+13,0.562832162,2,5054171.69
419.059146,1827.923775,-187534.9068,1.22466E+13,1,3,7303557.569
1597.650624,1236.707443,-252704.3547,1.78545E+13,0.562832162,2,5124399.011
670.5199445,275.2513233,-230819.0031,1.78545E+13,0.562832162,2,5080628.308
1358.31271,1630.584051,-149629.4753,1.22466E+13,1,3,7227746.706
1573.900302,700.2529584,-274001.5819,1.78545E+13,0.562832162,2,5166993.466
