"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"86",-2536285.21266569,17902031549683.6,0.456326504350996,3,12001058.1804908,150842.897635304,-253363.812459666,-0.00706215795119125,20,45888258.6684235,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"87",-2536464.00561932,17902031617321.4,0.47911396113061,3,12001415.7663981,150838.933829873,-253270.307899346,-0.010585407483382,20,45888266.5960343,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"88",-2536996.37898298,17902032210747.1,0.534778941412533,3,12002480.5131254,150980.452117623,-249455.019448658,0.0187267975292557,20,45887983.5594589,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"89",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150858.920571136,-252070.658562272,-0.00277275183871043,20,45888226.6225518,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"90",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150587.983159005,-249817.64601349,-0.00295353059904459,20,45888768.4973761,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"91",-2537053.07344086,17902027311733.8,0.534322586729962,4,14312091.3554844,150927.102657827,-253616.512010832,-0.0110575226443948,20,45888090.2583784,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"92",-2536608.33863548,17902031715478.4,0.498805924309898,3,12001704.4324304,150691.577228073,-249559.11251084,-0.00771350722555764,20,45888561.3092379,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"93",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150888.879586602,-250388.200415381,-0.00867602454680115,20,45888166.7045209,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"94",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150825.242326149,-253368.534945207,-0.0027475753234859,20,45888293.9790418,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"95",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150672.012782684,-249952.3363563,0.00401825771466469,20,45888600.4381287,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"96",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150679.98984921,-251122.422682355,-0.0123978233544388,20,45888584.4839957,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"97",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150696.482972533,-251626.065061602,0.0227345476121698,20,45888551.497749,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"98",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150922.222483569,-251685.474910743,-0.00752852605575815,20,45888100.018727,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"99",-2536961.09148405,17902032264342.1,0.534778941412533,3,12002409.9381276,150919.40031961,-253858.95187495,0.00776379249500058,20,45888105.6630549,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"100",-2536643.04720682,17902031726377.1,0.498805924309898,3,12001773.8495731,150999.935547319,-254122.593557261,-0.0107356301979848,20,45887944.5925995,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"101",-2536208.09421275,17902025286962.8,0.456326504350996,4,14310401.3970282,151033.772785591,-253461.010607007,-0.00251463596715258,20,45887876.9181229,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"102",-2537147.22406381,17902032885918.7,0.548412006866433,3,12002782.2032871,150833.881873808,-253984.797061062,-0.0117598239941123,20,45888276.6999465,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"103",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151172.860540284,-253557.834704581,0.000133945807102275,20,45887598.7426135,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"104",-2536096.83698717,17902031481973.1,0.436135845149042,3,12000681.4291338,150651.50703809,-250591.78240435,0.00169989785017506,20,45888641.4496179,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"105",-2536975.23188431,17902032228395.8,0.534778941412533,3,12002438.2189281,150844.325619554,-252121.455561825,0.00937967319903228,20,45888255.812455,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"106",-2536789.466076,17902032011100.7,0.521953836202136,3,12002066.6873115,150711.123963058,-250610.778067187,-0.00188268012405378,19,43579024.7623248,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"107",-2536974.67251622,17902032157669.5,0.534778941412533,3,12002437.1001919,150731.428171453,-254068.348086511,-0.00970441386746677,20,45888481.6073512,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"108",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150440.361551069,-252579.749154476,-0.00437325710557182,20,45889063.740592,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"109",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151067.427598759,-253816.393610836,0.0045369838885962,20,45887809.6084966,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"110",-2536755.73329871,17902031840963.7,0.521953836202136,3,12001999.2217569,150816.347047181,-250420.653267116,0.00508706711015456,19,43578814.3161565,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"111",-2536136.04497337,17902031444137.9,0.436135845149042,3,12000759.8451062,150752.599280621,-251787.902226224,-0.00542479930587582,20,45888439.2651329,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"112",-2537191.2732316,17902032920997.1,0.548412006866433,3,12002870.3016227,150878.009648335,-253094.937319048,0.00739701768545436,20,45888188.4443974,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"113",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150869.279030704,-252188.123526824,-0.018841317717106,20,45888205.9056327,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"114",-2536996.37898298,17902032210747.1,0.534778941412533,3,12002480.5131254,150706.564817623,-253375.660843483,0.00827898621470691,20,45888531.3340589,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"115",-2536802.29893261,17902031852922.8,0.509956563732036,3,12002092.3530247,150646.179159851,-252114.154033044,-0.000257376166966938,20,45888652.1053744,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"116",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150632.366620812,-253828.664319554,-0.0201455345235031,20,45888679.7304525,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
